lesson_id,lesson_item_id,concept,difficulty,corrected_concept,lesson_item
m2-l2,m2-l1-video-Functions-0,Inverse,medium,,
m2-l2,m2-l1-video-Functions-0,Polynomial,medium,,
m2-l2,m2-l1-video-Functions-0,Rational Function,medium,,
m2-l2,m2-l1-video-Functions-0,Fractional Power,medium,,
m2-l2,m2-l1-video-Functions-0,Trigonometric Function,medium,,
m2-l2,m2-l1-video-Functions-0,Trigonometric Identity,medium,,
m2-l2,m2-l1-video-Functions-0,Exponential Function,high,,
m2-l2,m2-l1-video-Functions-0,Logarithm,high,,
m2-l2,m2-l1-video-Functions-0,Natural Logarithm,medium,,
m2-l2,m2-l1-video-Functions-0,Euler's Formula,high,,
m2-l2,m2-l1-video-Functions-0,Imaginary Number,high,,
m2-l2,m2-l1-reading-How Grading Works Reading-1,Core Homework,low,,
m2-l2,m2-l1-reading-How Grading Works Reading-1,Functions Exam,high,,
m2-l2,m2-l1-reading-How Grading Works Reading-1,Assignment,medium,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Complex Number,medium,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Derivative,low,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Integral,low,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Constant Of Integration,medium,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Factorial Notation,medium,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Infinite Sum,high,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Differentiation,low,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Summation Notation,medium,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Algebraic Property,medium,,
m2-l2,m2-l2-video-Exponentials Video Resume . Click to resume-0,Complex Input,high,,
m2-l2,m2-l2-video-BONUS!-1,Series,medium,,
m2-l2,m2-l2-video-BONUS!-1,Expression,low,,
m2-l2,m2-l2-video-BONUS!-1,Graph,medium,,
m2-l2,m2-l2-video-BONUS!-1,Factorial,low,,
m2-l2,m2-l2-video-BONUS!-1,Approximation,medium,,
m2-l2,m2-l2-video-BONUS!-1,Maclaurin Series,high,,
m2-l2,m2-l2-video-BONUS!-1,Taylor Series,high,,
m2-l2,m2-l2-video-BONUS!-1,Infinite Series,high,,
m2-l2,m2-l2-video-BONUS!-1,Term,low,,
m2-l2,m3-l1-video-Taylor Series-0,Constant,low,,
m2-l2,m3-l1-video-Taylor Series-0,Coefficient,medium,,
m2-l2,m3-l1-video-Taylor Series-0,Bessel Function,high,,
m2-l2,m3-l1-video-Taylor Series-0,Angular Frequency,medium,,
m3-l1,m2-l1-video-Functions-0,Function,medium,,
m3-l1,m2-l1-video-Functions-0,Domain,low,,
m3-l1,m2-l1-video-Functions-0,Range,low,,
m3-l1,m2-l1-video-Functions-0,Composition,medium,,
m3-l1,m2-l1-video-Functions-0,Inverse,medium,,
m3-l1,m2-l1-video-Functions-0,Polynomial,medium,,
m3-l1,m2-l1-video-Functions-0,Rational Function,medium,,
m3-l1,m2-l1-video-Functions-0,Fractional Power,medium,,
m3-l1,m2-l1-video-Functions-0,Trigonometric Function,medium,,
m3-l1,m2-l1-video-Functions-0,Trigonometric Identity,medium,,
m3-l1,m2-l1-video-Functions-0,Exponential Function,high,,
m3-l1,m2-l1-video-Functions-0,Logarithm,high,,
m3-l1,m2-l1-video-Functions-0,Natural Logarithm,medium,,
m3-l1,m2-l1-video-Functions-0,Euler's Formula,high,,
m3-l1,m2-l1-video-Functions-0,Imaginary Number,high,,
m3-l1,m2-l1-reading-How Grading Works Reading-1,Core Homework,low,,
m3-l1,m2-l1-reading-How Grading Works Reading-1,Functions Exam,high,,
m3-l1,m2-l1-reading-How Grading Works Reading-1,Assignment,medium,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Complex Number,medium,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Derivative,low,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Integral,low,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Constant Of Integration,medium,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Factorial Notation,medium,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Infinite Sum,high,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Differentiation,low,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Summation Notation,medium,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Algebraic Property,medium,,
m3-l1,m2-l2-video-Exponentials Video Resume . Click to resume-0,Complex Input,high,,
m3-l1,m2-l2-video-BONUS!-1,Series,medium,,
m3-l1,m2-l2-video-BONUS!-1,Expression,low,,
m3-l1,m2-l2-video-BONUS!-1,Graph,medium,,
m3-l1,m2-l2-video-BONUS!-1,Factorial,low,,
m3-l1,m2-l2-video-BONUS!-1,Approximation,medium,,
m3-l1,m2-l2-video-BONUS!-1,Maclaurin Series,high,,
m3-l1,m2-l2-video-BONUS!-1,Taylor Series,high,,
m3-l1,m2-l2-video-BONUS!-1,Infinite Series,high,,
m3-l1,m2-l2-video-BONUS!-1,Term,low,,
m3-l1,m3-l1-video-Taylor Series-0,Constant,low,,
m3-l1,m3-l1-video-Taylor Series-0,Coefficient,medium,,
m3-l1,m3-l1-video-Taylor Series-0,Bessel Function,high,,
m3-l1,m3-l1-video-Taylor Series-0,Angular Frequency,medium,,
